اسپرسو بار,
اسپرسو سینگل,95000
 اسپرسو دبل,100000
آمریکانو,110000
کارامل ماکیاتو,150000
ترک,110000
کاپوچینو,140000
لته,150000
آفوگاتو,150000
موکا,150000
نوشیدنی گرم,
چای سیاه و دارچین,80000
چای قوری,125000
چای ماسالا,160000
چای کرک,160000
چای مراکشی,120000
چای هل و زعفران,180000
هات چاکلت,160000
وایت چاکلت,160000
شیک,
شیک شکلات,210000
شیک شکلات و موز,250000
شیک پروتين,260000
شیک لوتوس,250000
شیک کلاسیک,230000
نوشیدنی سرد,
آب کرفس و سیب,80000
آب هویج,80000
لیموناد,170000
موهیتو,175000
کیک دسر,
هویج گردو,100000
شکلات,100000
کوکی رژیمی,50000
کوکی,50000
صبحانه,
املت قهوه خانه,150000
املت ایرانی,150000
نیمرو دوعددی,70000
تخم مرغ آب پز,15000
صبحانه ایرانی,150000
تست بادام زمینی ویژه,90000
تست پنیر گردو,70000
تست ژامبون پنیر,100000
خرما ارده,20000
میان وعده,
سیب زمینی ساده,150000
سیب زمینی ویژه,200000
سالاد ماکارونی رژیمی,250000
سالاد الویه رژیمی,150000
اوتمیل,"150,000 – 200,000"
سالاد سزار,350000
ساندویچ,
هات داگ ساده,200000
هات داگ قارچ و پنیر,240000
پنینی ژامبون,250000
پنینی مرغ,250000
برگر,
برگر کلاسیک,230000
چیزبرگر,245000
ماشروم برگر,250000
برگر مخصوص مانا,270000
دوبل برگر,460000
پاستا,
پاستا آلفردو,330000
بشقاب رژیمی,
سینی رژیمی (۲فیله ۲ تخم مرغ آب پز سبزیجات),300000
استیک مرغ و سبزیجات,290000
غذا روز,
زرشک پلو,350000
قورمه سبزی,230000
کباب تابه ای,380000
ماکارانی,210000
لوبیاپلو,260000
جوجه چینی,285000
